sep=,
index,date,time,precipitation past hour (ml),atmospheric pressure past hour (mb),max air pressure past hour (mb),min air pressure past hour (mb),solar radiation (KJ/m2),air temperature (instant) (C),dew point temperature (instant) (C),max temperature past hour (C),min temperature past hour (C),max dew point temperature past hour (C),min dew point temperature past hour (C),max relative humid temperature past hour  (%),min relative humid temperature past hour (%),relative humid (% instant),wind direction (radius degrees),wind gust (m/s),wind speed (m/s),region,state,station,station_code,latitude,longitude,height
98640,2010-01-01,00:00:00,0,981.6,981.7,981.1,-9999,24.3,22,25.4,24.3,22,21.7,87,80,87,33,5.5,3.2,N,AC,MARECHAL THAUMATURGO,A137,-8.95,-72.78666666,230
241872,2010-01-01,00:00:00,0,991,991,990.5,-9999,23,22.2,23.6,23,22.4,22.2,95,92,95,258,4.3,1.1,N,AC,FEIJO,A138,-8.24194444,-70.57527777,163
285672,2010-01-01,00:00:00,0,983.8,983.8,983,-9999,23.4,22.5,25.1,23.1,22.6,21.9,95,85,95,227,7.8,0.7,N,AC,EPITACIOLANDIA,A140,-11.0236111,-68.73499999,217
28560,2010-01-01,00:00:00,0,1009.2,1009.3,1008.5,-9999,25,22.8,25.1,25,22.8,22.5,88,86,88,58,3.9,0.5,N,PA,BELEM,A201,-1.41027777,-48.43833333,24
373272,2010-01-01,00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,PA,CASTANHAL,A202,-1.30083333,-47.93083332,65
26824,2010-01-01,00:00:00,0,982.4,982.4,981.3,-9999,26.5,21.1,26.6,26.2,21.4,20.8,74,72,72,113,4,0.2,N,PA,MEDICILANDIA,A209,-3.51083333,-52.96361111,251
294432,2010-01-01,00:00:00,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N,PA,PACAJA,A210,-3.8436111,-50.63805555,108
364512,2010-01-01,00:00:00,0.2,999,999.1,998.3,-9999,23.9,22.6,24.3,23.9,22.8,22.6,92,91,92,201,2.4,0,N,PA,PLACAS,A211,-3.8811111,-54.2461111,96
177480,2010-01-01,00:00:00,0,1002,1002,1000.8,-9999,24.8,22.4,25.6,24.8,22.5,22.3,86,82,86,37,8.2,2.5,N,PA,PARAGOMINAS,A212,-3.01027777,-47.34305555,101
89880,2010-01-01,00:00:00,0,1006.4,1006.4,1005,-9999,25.7,21.8,26.1,25.2,22.2,20.6,81,76,79,40,7.2,2,N,PA,TOME ACU,A213,-2.6,-48.36666666,38
116160,2010-01-01,00:00:00,0,985.3,985.3,983.9,-9999,25.1,22.1,26.2,25.1,23,22,85,83,83,164,4.4,2.8,N,PA,RONDON DO PARA,A214,-4.82749999,-48.17333332,203
303192,2010-01-01,00:00:00,0.2,1009.2,1009.3,1008.7,-9999,24.8,22.8,24.8,23.9,22.8,22.4,93,88,88,54,5,1.9,N,PA,SALINOPOLIS,A215,-0.6186111,-47.35666666,41
